"id","question","answer","category"
"standards-compliance","Which international standards do you follow?","We follow internationally recognized testing standards including ASTM (American Society for Testing and Materials), ISO (International Organization for Standardization), BS (British Standards), and IS (Indian Standards) where applicable. Our ISO 9001:2015 certification ensures quality management in all testing procedures. Our reports clearly reference the specific standards used for each test, ensuring your project meets international quality benchmarks and regulatory requirements.","technical"
"equipment-calibration","How is your equipment calibrated and maintained?","All our testing equipment undergoes regular calibration according to manufacturer specifications and international standards. We maintain calibration certificates for all instruments and perform routine maintenance checks. Our pile testing equipment (PDA, PIT) is calibrated by certified technicians. Laboratory equipment follows annual calibration schedules with traceability to national/international standards. This ensures accuracy and reliability of all test results we provide.","technical"
"site-access","Do you work in remote or difficult-to-access locations?","Yes, we have extensive experience working in challenging terrain throughout Nepal, including remote mountainous areas, steep slopes, and limited-access sites. Our equipment can be transported via road, helicopter, or manual carrying as needed. We have successfully completed projects in all regions of Nepal, from the Terai plains to high-altitude Himalayan sites. Our experienced field crews are trained to work safely and efficiently in difficult conditions.","technical"
"project-locations","Where do you provide services?","We provide geotechnical services throughout Nepal, including Kathmandu Valley, Eastern Nepal, Central Nepal, and Western Nepal. Our head office and laboratory are located in Lalitpur, but we have successfully completed projects in all 7 provinces. We have worked on major infrastructure projects including the Kathmandu-Terai Fast Track, multiple hydropower projects, transmission lines, bridges, and tunnels across the country.","general"
"company-experience","How long has NS Engineering been in operation?","NS Engineering & Geotechnical Services has been providing professional geotechnical services for over 10 years. We have completed hundreds of projects for government agencies, international consultants, and private developers. Our team includes experienced directors, senior engineers, geologists, and technicians with decades of combined experience. We are an ISO 9001:2015 certified company committed to quality, safety, and technical excellence.","general"
"international-clients","Do you work with international consultants?","Yes, we have extensive experience working with international consulting firms from China, Japan, Germany, UK, France, Canada, Italy, Australia, India, Norway, Finland, Austria, Netherlands, USA, Malaysia, and New Zealand. We understand international project requirements, reporting formats, and quality standards. Our technical staff can communicate effectively in English and are familiar with international best practices in geotechnical engineering.","general"
"emergency-services","Do you provide emergency or urgent testing services?","Yes, we offer expedited services for urgent projects or emergency situations. Our team can mobilize within 24-48 hours for critical projects, and we provide rush report delivery for time-sensitive situations. Emergency services are available 24/7 for disaster response, structural emergencies, or project-critical testing needs. Additional charges apply for expedited services. Contact our emergency hotline at +977-9851228995 for immediate assistance.","general"
"safety-protocols","What safety measures do you follow on site?","Safety is our top priority. We follow strict safety protocols including: mandatory PPE (helmets, safety boots, vests) for all personnel, pre-project safety briefings and risk assessments, regular equipment safety checks, trained safety officers on major projects, and adherence to international safety standards. We have maintained an excellent safety record with zero major accidents. Our current achievement is 18 consecutive months without Lost Time Injuries (LTI).","general"
"quality-assurance","What quality assurance processes do you have?","As an ISO 9001:2015 certified company, we maintain rigorous quality management systems. Our QA processes include: documented standard operating procedures (SOPs), regular equipment calibration, independent review of test results by senior engineers, participation in proficiency testing programs, detailed record-keeping and traceability, and continuous staff training. All reports undergo technical review before delivery to ensure accuracy and compliance with project specifications.","general"
"staff-qualifications","What are the qualifications of your technical staff?","Our team includes highly qualified professionals: Directors with MSc/PhD degrees and 15-30 years of experience, licensed professional engineers and geologists, ASTM/ISO trained testing technicians, and certified equipment operators. Our Managing Director, Arun Kumar Pandit, holds an MSc in Geotechnical Engineering with 19 years of experience. We invest in continuous professional development to ensure our team stays current with latest technologies and best practices.","general"
